browser_id,site_id,ttfb_ms,fcp_ms,load_time_ms,memory_mb,request_count,transfer_size_kb
1,1,125.1,547,3896,219.53,903,6040
1,2,79.2,1361,6959,287,689,1800
1,3,89.6,256,1255,291.77,97,881.8
1,4,529.4,953,1675,281.72,182,1870
1,5,113.9,247,1422,235.91,260,4410
1,6,135.5,1864,1838,260.86,68,2080
1,7,56.3,127,190,276.3,11,123.9
1,8,166.6,216,210,276.83,5,6.13
1,9,598.5,1053,1477,288.78,757,1730
1,10,53.5,234,622,263.91,178,132.6
2,1,58.8,1230,13374,136.66,838,5020
2,2,45.3,1535,9063,162.44,654,4000
2,3,101,450,1065,178.39,82,736.4
2,4,412.4,1040,1773,189.99,182,1870
2,5,139.5,470,1050,202.41,219,1090
2,6,111.4,1591,1812,213.71,70,4160
2,7,51.6,331,459,228.06,12,123.9
2,8,97.9,332,338,230.03,5,6.13
2,9,624.4,1890,2730,253.8,749,988
2,10,663.1,1053,1257,271.13,336,223.4
3,1,56.6,623,2387,87.41,806,5210
3,2,41.3,266,6575,88.74,714,1520
3,3,79.7,212,859,102.74,189,19500
3,4,488,602,1356,101.22,174,2110
3,5,124.5,262,928,108.02,225,2030
3,6,795.2,2248,2867,115.06,62,1320
3,7,46.2,102,161,123.74,20,245.1
3,8,120,164,164,124.89,7,6.08
3,9,430.7,1413,1860,135.78,988,22600
3,10,50.4,220,868,145.16,175,126
